epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.01,1.71173,3.69711,1.15141,0.006,0.375,0.00928,0.00381,1.88092,3.60153,1.13678,0.0004,0.0004,0.0004
2,366.164,1.48481,2.21983,1.0137,0.00067,0.04167,0.00039,0.00024,1.76929,4.41369,1.30457,0.00077941,0.00077941,0.00077941
3,518.869,1.30597,1.60122,0.99782,0.00067,0.04167,0.00037,4e-05,1.57793,5.72018,1.24166,0.00111724,0.00111724,0.00111724
4,678.385,1.44132,1.57111,1.00745,1,0.21883,0.38699,0.29316,1.41694,2.53149,0.97567,0.00141349,0.00141349,0.00141349
5,855.903,1.40601,1.42956,1.00338,0.90405,0.39355,0.60707,0.34873,1.44626,1.95039,0.99915,0.001604,0.001604,0.001604
6,1007.12,1.29366,1.33843,0.96693,0.79522,0.29167,0.51964,0.34026,1.37988,1.93848,0.92808,0.001505,0.001505,0.001505
7,1146.58,1.32699,1.24533,0.956,0.23964,0.33333,0.10703,0.07576,1.27587,2.26223,0.9466,0.001406,0.001406,0.001406
8,1284.91,1.2469,1.24998,0.95766,0.75956,0.33333,0.50942,0.35182,1.28449,1.7609,0.95011,0.001307,0.001307,0.001307
9,1420.68,1.22179,1.16277,0.94,0.79008,0.58333,0.62734,0.45242,1.25042,1.30315,0.91939,0.001208,0.001208,0.001208
10,1553.67,1.20789,1.13994,0.9394,0.87097,0.66667,0.68938,0.47011,1.19527,1.10978,0.95046,0.001109,0.001109,0.001109
11,1682.79,1.16219,1.34814,0.93164,0.86134,0.51835,0.64421,0.4381,1.26817,1.56285,0.95496,0.00101,0.00101,0.00101
12,1810.57,1.13282,1.25292,0.94485,0.77323,0.75,0.65797,0.42898,1.22684,1.12096,0.95817,0.000911,0.000911,0.000911
13,1937.86,1.10477,1.15153,0.92807,0.80492,0.68819,0.64639,0.40934,1.23295,1.04798,0.91756,0.000812,0.000812,0.000812
14,2067.3,1.08218,1.10206,0.92346,0.69585,0.6673,0.59802,0.39317,1.18305,1.11919,0.89491,0.000713,0.000713,0.000713
15,2194.83,1.05854,1.0598,0.92538,0.73072,0.70833,0.62221,0.39892,1.22355,1.08723,0.89801,0.000614,0.000614,0.000614
16,2321.91,1.07597,1.01864,0.91604,0.76144,0.66667,0.65092,0.41485,1.25021,1.16525,0.91016,0.000515,0.000515,0.000515
17,2449.4,1.06263,1.01439,0.90559,0.85477,0.70833,0.67681,0.45853,1.22216,0.9918,0.89407,0.000416,0.000416,0.000416
18,2577.46,1.05579,0.97928,0.89832,0.84739,0.69457,0.64434,0.45571,1.17022,0.9799,0.876,0.000317,0.000317,0.000317
19,2704.03,1.00499,0.94535,0.89401,0.84575,0.68589,0.71084,0.48625,1.15714,0.97856,0.87501,0.000218,0.000218,0.000218
20,2829.83,0.9535,0.92757,0.89041,0.88908,0.75,0.73269,0.49341,1.14861,0.94154,0.87569,0.000119,0.000119,0.000119
